1a,1b,2,3,4a,4b,4c
,TEGUCIGALPA COMERCIO Edificio Camara de Comercio,+504 232 2468,03-Feb,0700-1900,-,-
,TEGUCIGALPA TELECOM Palacio de Telecomunicaciones,+504 237 9715,03-Feb,N,N,0700-1700
,ALTERNATIVE MAIN INTERNATIONAL BUREAUX,,,,,
,LA CEIBA Edificio HONDUTEL,+504 443 0700,03-Feb,0700-2100,-,-
,S PEDRO SULA Edificio HONDUTEL,+504 552 4923,03-Feb,0700-2100,0700-1200,-
,,,,,,
,Amapala,TEGUCIGALPA TELECOM,,,,
,Comayagua,TEGUCIGALPA TELECOM,,,,
,Islas de la Bahia,LA CEIBA,,,,
,Juticalpa,TEGUCIGALPA TELECOM,,,,
,Ocotepeque,S PEDRO SULA,,,,
,Progreso,S PEDRO SULA,,,,
,S Lorenzo,TEGUCIGALPA TELECOM,,,,
,S Rosa de Copan,S PEDRO SULA,,,,
,Siguatepeque,TEGUCIGALPA TELECOM,,,,
